,Ticker,Fiscal Year,Report Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Administrative",Research & Development,Depreciation & Amortization,Operating Income (Loss),Non-Operating Income (Loss),"Interest Expense, Net","Pretax Income (Loss), Adj.",Abnormal Gains (Losses),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
7,AA,2019,2019-12-31,10433000000.0,-8537000000.0,1896000000.0,-1020000000.0,-280000000.0,-27000000.0,-713000000.0,876000000.0,-283000000.0,-121000000.0,593000000.0,-1031000000.0,-438000000.0,-415000000.0,-853000000,118022468.97815126,-1125000000,-1125000000
8,AA,2020,2020-12-31,9286000000.0,-7969000000.0,1317000000.0,-886000000.0,-206000000.0,-27000000.0,-653000000.0,431000000.0,-154000000.0,-146000000.0,277000000.0,-104000000.0,173000000.0,-187000000.0,-14000000,118022468.97815126,-170000000,-170000000
9,AA,2021,2021-12-31,12152000000.0,-9153000000.0,2999000000.0,-922000000.0,-227000000.0,-31000000.0,-664000000.0,2077000000.0,250000000.0,-195000000.0,2327000000.0,-1128000000.0,1199000000.0,-629000000.0,570000000,118022468.97815126,429000000,429000000
10,AA,2022,2022-12-31,12451000000.0,-10212000000.0,2239000000.0,-853000000.0,-204000000.0,-32000000.0,-617000000.0,1386000000.0,12000000.0,-106000000.0,1398000000.0,-696000000.0,702000000.0,-664000000.0,38000000,118022468.97815126,-123000000,-123000000
11,AA,2023,2023-12-31,10551000000.0,-9813000000.0,738000000.0,-897000000.0,-226000000.0,-39000000.0,-632000000.0,-159000000.0,-241000000.0,-107000000.0,-400000000.0,-184000000.0,-584000000.0,-189000000.0,-773000000,118022468.97815126,-651000000,-651000000
24,AAL,2019,2019-12-31,45768000000.0,-32654000000.0,13114000000.0,-10049000000.0,-2004000000.0,-1046124105.7772971,-1982000000.0,3065000000.0,-809000000.0,-968000000.0,2256000000.0,-113345135.4520958,2256000000.0,-570000000.0,1686000000,118022468.97815126,1686000000,1686000000
25,AAL,2020,2020-12-31,17337000000.0,-22523000000.0,-5186000000.0,-5235000000.0,-666000000.0,-1046124105.7772971,-2040000000.0,-10421000000.0,-1032000000.0,-1186000000.0,-11453000000.0,-113345135.4520958,-11453000000.0,2568000000.0,-8885000000,118022468.97815126,-8885000000,-8885000000
26,AAL,2021,2021-12-31,29882000000.0,-27836000000.0,2046000000.0,-7111000000.0,-1098000000.0,-1046124105.7772971,-2019000000.0,-5065000000.0,-1489000000.0,-1782000000.0,-6554000000.0,4006000000.0,-2548000000.0,555000000.0,-1993000000,118022468.97815126,-1993000000,-1993000000
27,AAL,2022,2022-12-31,48971000000.0,-37957000000.0,11014000000.0,-9214000000.0,-1815000000.0,-1046124105.7772971,-1977000000.0,1800000000.0,-1421000000.0,-1746000000.0,379000000.0,-193000000.0,186000000.0,-59000000.0,127000000,118022468.97815126,127000000,127000000
28,AAL,2023,2023-12-31,52788000000.0,-39042000000.0,13746000000.0,-9741000000.0,-1799000000.0,-1046124105.7772971,-1936000000.0,4005000000.0,-1913000000.0,-1554000000.0,2092000000.0,-971000000.0,1121000000.0,-299000000.0,822000000,118022468.97815126,822000000,822000000
29,AAMC,2019,2019-12-31,15733196.0,-16989201.0,-1269654.0,-7769360.0,-7776867.0,-1046124105.7772971,-434363725.33045274,-9030087.0,6753000.0,-118490421.49102229,-2274240.0,-113345135.4520958,-10392000.0,-337973.0,-2616343,7944000.0,-2613000,-2819000
30,AAMC,2020,2020-12-31,7007066424.473572,-11977000.0,-11977000.0,-8533000.0,-8532704.0,-1046124105.7772971,-434363725.33045274,-20510000.0,6559000.0,-118490421.49102229,-13951000.0,-113345135.4520958,-13951000.0,-769000.0,-14720000,54541000.0,39821000,39779000
31,AAMC,2021,2021-12-31,7007066424.473572,-5635000.0,-5635000.0,-10989000.0,-11057825.0,-1046124105.7772971,-434363725.33045274,-16624000.0,3095000.0,-60000.0,-8955317.0,4585000.0,-8944000.0,-3273000.0,75641461,6213000.0,81892076,81899032
32,AAMC,2022,2022-12-31,562302.0,-5028782503.752925,2678659026.7719755,-16777000.0,-9361738.0,-1046124105.7772971,-122000.0,-11812000.0,-1296000.0,-1328000.0,-15553234.0,-2476000.0,-15584000.0,-350000.0,-10826756,118022468.97815126,-10830076,-10814235
33,AAMC,2023,2023-12-31,-17322891.0,-5028782503.752925,2678659026.7719755,-18562000.0,-9047319.0,-1046124105.7772971,-721000.0,-13181000.0,-2751000.0,-2793000.0,-32017540.0,-16041000.0,-31973000.0,-573000.0,-32546000,118022468.97815126,-32546000,-32546000
34,AAN,2019,2019-12-31,1784477000.0,-672461000.0,1112016000.0,-926767000.0,-499993000.0,-1046124105.7772971,-434363725.33045274,185249000.0,-13086000.0,-16967000.0,34304771.0,-137893000.0,34270000.0,-6171000.0,28099000,118022468.97815126,28099000,28099000
35,AAN,2020,2020-12-31,1734919000.0,-651377000.0,1083542000.0,-894417724.0,-476575000.0,-1046124105.7772971,-434363725.33045274,187904726.0,-7697000.0,-10006000.0,-397730852.0,-565342000.0,-397814000.0,131902000.0,-265912000,118022468.97815126,-265912000,-265912000
36,AAN,2021,2021-12-31,1845504000.0,-686015000.0,1159489000.0,-911690858.0,-739571689.0,-1046124105.7772971,-434363725.33045274,246236302.0,121000.0,-22517305.0,145535511.0,-83838000.0,145870000.0,-35936000.0,109934000,118022468.97815126,109934000,109934000
37,AAN,2022,2022-12-31,2249434000.0,-1087661000.0,1161773000.0,-985240331.0,-785746481.0,-1046124105.7772971,-434363725.33045274,176261681.0,-12195000.0,-40878009.0,-14735740.0,-159034000.0,-14743000.0,9463000.0,-5280000,118022468.97815126,-5280000,-5280000
38,AAN,2023,2023-12-31,2139890000.0,-1020571000.0,1119319000.0,-981842944.0,-793303714.0,-1046124105.7772971,-434363725.33045274,137873617.0,-13608000.0,-48974235.0,-1056859.0,-100931000.0,-1058000.0,3881000.0,2823000,118022468.97815126,2823000,2823000
39,AAOI,2019,2019-12-31,190872000.0,-144671000.0,46201000.0,-94948000.0,-51549000.0,-43399000.0,-434363725.33045274,-48747000.0,-2640000.0,-4480000.0,-51387000.0,-113345135.4520958,-51387000.0,-14662000.0,-66049000,118022468.97815126,-66049000,-66049000
40,AAOI,2020,2020-12-31,234623000.0,-184082000.0,50541000.0,-99383000.0,-55990000.0,-43393000.0,-434363725.33045274,-48842000.0,-2382000.0,-5380000.0,-51224000.0,-113345135.4520958,-51224000.0,-7228000.0,-58452000,118022468.97815126,-58452000,-58452000
41,AAOI,2021,2021-12-31,211565000.0,-173850000.0,37715000.0,-94481000.0,-53261000.0,-41220000.0,-434363725.33045274,-56766000.0,2606000.0,-5550000.0,-54160000.0,-113345135.4520958,-54160000.0,-2000.0,-54162000,118022468.97815126,-54162000,-54162000
42,AAOI,2022,2022-12-31,222818000.0,-189191000.0,33627000.0,-92625000.0,-56381000.0,-36244000.0,-434363725.33045274,-58998000.0,-7398000.0,-6193000.0,-66396000.0,-113345135.4520958,-66396000.0,-1000.0,-66397000,118022468.97815126,-66397000,-66397000
43,AAOI,2023,2023-12-31,217646000.0,-158725000.0,58921000.0,-100270000.0,-64295000.0,-35975000.0,-434363725.33045274,-41349000.0,-14690000.0,-8819000.0,-56039000.0,-113345135.4520958,-56039000.0,-9000.0,-56048000,118022468.97815126,-56048000,-56048000
44,AAON,2019,2019-12-31,469333000.0,-349908000.0,119425000.0,-52077000.0,-52077000.0,-1046124105.7772971,-434363725.33045274,67348000.0,20000.0,66000.0,67368000.0,-337000.0,67031000.0,-13320000.0,53711000,118022468.97815126,53711000,53711000
