Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Change in Working Capital;Change in Accounts Receivable;Change in Inventories;Change in Accounts Payable;Change in Other;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Long Term Investment;Net Cash from Acquisitions & Divestitures;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Net Change in Cash
A;45846;USD;2019;FY;2019-10-31;2019-12-19;2021-12-17;314000000;318000000;1071000000;238000000;-152000000;-136000000;-106000000;-36000000;29000000;-23000000;1021000000;-155000000;;-1408000000;-1590000000;-206000000;600000000;-669000000;-299000000;-866000000
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2022-12-21;309000000;312000000;719000000;308000000;220000000;-326000000;;;;;921000000;-118000000;;;-147000000;-222000000;-45000000;-409000000;-717000000;59000000
A;45846;USD;2021;FY;2021-10-31;2021-12-17;2023-12-20;305000000;307000000;1210000000;321000000;56000000;-102000000;;;;;1485000000;-187000000;12000000;-547000000;-749000000;-236000000;356000000;-733000000;-696000000;43000000
A;45846;USD;2022;FY;2022-10-31;2022-12-21;2024-12-20;304000000;307000000;1254000000;317000000;219000000;-478000000;;;;;1312000000;-291000000;9000000;-52000000;-334000000;-250000000;22000000;-1081000000;-1376000000;-434000000
A;45846;USD;2023;FY;2023-10-31;2023-12-20;2024-12-20;294000000;296000000;1240000000;271000000;377000000;-116000000;;;;;1772000000;-298000000;-3000000;-1000000;-302000000;-265000000;-43000000;-508000000;-938000000;537000000
A21;1333027;USD;2019;FY;2019-12-31;2020-03-09;2022-04-19;1853320448;2115376392;-2417874000;116391000;672729000;-153561000;;;;;-1793710000;-951253000;-98000000;-560000000;-2574836000;;401357000;5156924000;5655690000;1340866000
A21;1333027;USD;2020;FY;2020-12-31;2021-03-10;2023-04-21;1853320448;2115376392;-24055773;46508505;-12047157;294096940;;;;;304523958;-97749057;-9417727;-5135993;-2564477341;;533920965;3046365362;3580286327;1265761414
AA;367153;USD;2019;FY;2019-12-31;2020-02-21;2022-02-24;185000000;185000000;-853000000;713000000;1091000000;-265000000;;;;;686000000;-379000000;-112000000;23000000;-468000000;;-7000000;2000000;-444000000;-233000000
AA;367153;USD;2020;FY;2020-12-31;2021-02-25;2023-02-23;186000000;186000000;-14000000;653000000;-221000000;-24000000;;;;;394000000;-353000000;-12000000;198000000;-167000000;;738000000;1000000;514000000;727000000
AA;367153;USD;2021;FY;2021-12-31;2022-02-24;2024-02-21;185663439;185663439;570000000;664000000;358000000;-672000000;;;;;920000000;-390000000;-11000000;966000000;562000000;-19000000;-799000000;-125000000;-1155000000;314000000
AA;367153;USD;2022;FY;2022-12-31;2023-02-23;2025-02-20;186377853;189907737;38000000;617000000;1015000000;-848000000;;;;;822000000;-480000000;-22000000;5000000;-501000000;-72000000;3000000;-478000000;-762000000;-450000000
AA;367153;USD;2023;FY;2023-12-31;2024-02-21;2025-02-20;178000000;178000000;-773000000;632000000;502000000;-270000000;;;;;91000000;-531000000;-70000000;4000000;-596000000;-72000000;55000000;1000000;68000000;-427000000
AAC;7962652;USD;2021;FY;2021-12-31;2022-03-04;2023-03-10;125000000;125000000;15849072;;-22310688;5048063;;;;;-1413553;;;;-1000000000;;1023000000;;1002163063;749510
AAC;7962652;USD;2022;FY;2022-12-31;2023-02-28;2023-03-10;100000000;100000000;20983590;;-28326302;5131184;;;;;-2211528;;;;;;1500000;;1500000;-711528
AACI;11820349;USD;2021;FY;2021-09-30;2021-12-29;2022-12-22;5709500;20709500;-468899;;284794;-341724;;;;;-525829;;;;-150000000;;4595000;148536045;151183419;657590
AAGH;12444287;USD;2019;FY;2019-06-30;2021-03-23;2021-07-13;20236021836;20236021836;-65043;;17472;19779;;;;;-27792;;12971;;0;;;;-1500;87
AAGH;12444287;USD;2020;FY;2020-06-30;2020-10-12;2022-01-21;20236021836;20236021836;-51916;;4911;7446;;;;;-39559;;;;;;39623;;39623;64
AAGH;12444287;USD;2021;FY;2021-06-30;2022-01-21;2022-10-31;20438554050;20438554050;-269054;;15534;-75721;;;;;-329241;-12671;;;-12671;;582159;;737882;395970
